Tweets,Retweets,Favorite Tweets,Location
Interesting take from @voxdotcom on the #NataliePortman controversy -  ,,,
"This piece nailed it - ""Natalie Portman Just Taught Us How To Criticize Israel With Love""  ",,,
"Natalie Portman has posted a reasonable explanation for her decision not to receive her Genesis award. I'm sure nobody will be able to argue with that...just kidding, of course they will! -  ",,,
"Tempted not to post this because political stances from Natalie, particularly related to Israel, get fierce blowback from one side or the other. But here you go - Natalie has seemingly chosen not to accept her Genesis prize -  ",,,
"If you haven't seen it yet, don't miss #NataliePortman in Annihilaton - coming to Blu-ray on May 29 -  ",,,
Natalie Portman pic of the day - a stunning image from #BlackSwan ,,,
RIP #MilosForman - a true great who also directed Natalie Portman in Goyas Ghosts -  ,,,
Thanks to our #patreon supporters we have a new server at last! -  ,,,
A new behind the scenes photo of Natalie Portman from #Thor #Marvel -  ,,,
@Nieamodian13 Noah Hawley the creator of Fargo the series.,,,
True - that is beyond moving. ,,,
RT @RebeccaSkloot: Saw #Annihilation. Wow. Never imagined Id watch Natalie Portman reading my book in a film. Mind = blown by the many way,,,
#NataliePortman looks the business on this new Chinese film poster for #Annihilation -  ,,,
Learn more about the VFX in Annihilation from the film's VFX supervisor -  ,,,
#Annihilation keeps inspiring #artists -  ,,,
Don't miss #NataliePortman at #BostonCalling. I hope she plays all the hits -  ,,,
Take a closer look at #AnnihilationMovie set decoration with some new #NataliePortman photos as a bonus -  ,,,
"The brilliant Zazie Beats (Atlanta) joins Natalie Portman's next film, Pale Blue Dot -  ",,,
The awesome #Annihilation fanart keeps rolling in! -  ,,,
Natalie Portman's (producer and narrator) documentary Eating Animals will be released in June  #eatinganimals #Documentary -  ,,,
Awesome new outtakes from Natalie Portman's British Vogue appearance in 2005 -  ,,,
Natalie Portman's (producer and narrator) documentary Eating Animals will be released in June  #eatinganimals #Documentary -  ,,,
160 mb of Natalie Portman photos from our gallery will soon be sent out as a reward to our #Patreon subscribers. Not a patron yet? There's still time -  ,,,
I saw #AnnihilationMovie and here's what I thought -  ,,,
Natalie Portman's next film will indeed be Pale Blue Dot for Noah Hawley (Fargo) and co-starring John Hamm (Mad Men) -  ,,,
Cheeky Natalie Portman from Glamour in 2007. ,,,
Natalie Portman attended #marchforourlives in LA - ,,,
Several new (awesome) pieces of #AnnihilationMovie fanart -  ,,,
Learn more about the VFX in Annihilation from the film's VFX supervisor #Annihilation #AnnihilationMovie -  ,,,
RT @TomKeo: Genuinely the most insane alien/sci-fi I have ever seen oh my days @AnnihilationMov @natpdotcom @ginarodriguezbr @TessaThompson,,,
@MarioJimen69 Beautiful Girls is a must see.,,,
A video showing every #natalieportman movie in sequence. How many have you seen? - ,,,
Check out some awesome and creative #AnnihitationFilm fanart -  ,,,
A beautiful #NataliePortman blur from 2005. ,,,
Natalie Portman's next film will indeed be Pale Blue Dot for Noah Hawley (Fargo) and co-starring John Hamm (Mad Men) -  ,,,
"We reached 200,000 Facebook likes and followers. Thanks for following along! -  ",,,
I saw #annihilationfilm and here's what I thought -  ,,,
Have you seen Annihilation on Netflix yet? What did you think? -  ,,,
"In today's tidbits update - 

- new Patreon reward on the way
- Natalie for the new Star Wars
- Padme making out with Katniss? ",,,
"RT @Music__Mentor: Coincidentally, I just saw @AnnihilationMov on #InternationalWomensDay
Some of those special effects were incredible. It",,,
Behind the scenes of Natalie Portman filming Vox Lux in Brooklyn. Thanks to kalel259. ,,,
"The first screening thoughts on Natalie's next film are in, BTS video from Vox Lux and more -  ",,,
Natalie Portman's streak in action on the set of #voxlux -  ,,,
Looks like Natalie Portman is getting streaky for Vox Lux -  ,,,
Check out some cool concept art in the new #AnnihilationMovie featurette -  ,,,
Vox Lux continues to deliver badass #natalieportman set photos -  ,,,
"Our next #patreon reward is on the way. Become a patron today, get a ton of Natalie Portman photos tomorrow -  ",,,
We've got a roundup of articles about #annihilation -  ,,,
I'm already all in on Vox Lux. How about you? -  ,,,
"Read Andreas' in-depth, spoileriffic review of Annihilation here -  ",,,
"Woah, check out Natalie Portman's edgy new look for Vox Lux -  ",,,
"New #Annihilation photos, Natalie Portman on the #nerdist podcast, a profile from Slashfilm and more in today's tidbits -  ",,,
How great is this photo of Natalie Portman and Gina Rodriguez? #AnnihilationMovie #Annihilation #ginarodriguez -  ,,,
"Can't see #annihilationmovie in your country? Remember, the film is coming to #netflix on March 12. Here is the Netflix poster and trailer -  ",,,
Happy Annihilation Day! Check out a new featurette and film clip over here #AnnihilationMovie -  ,,,
"With 91% fresh on RT so far, #AnnihilationMovie is getting great reviews -  ",,,
Awwww. Millie Bobby Brown tweets about meeting Natalie Portman -  ,,,
"Natalie Portman talks Polanksi, #metoo, Reese, Annihilation, Leon and more in great new #buzzfeed interview -  ",,,
Looks like Natalie has started filming Vox Lux. ,,,
Natalie Portman sucks at tennis. Watch her admit this on Ellen -  ,,,
@DavidBo97227396 I feel your pain. It is coming to Netflix in a few weeks though.,,,
"Natalie Portman talks about Annihilation, Star Wars, and water breaking on #jimmykimmel -  ",,,
"New photos and interview with Natalie Portman, Tessa Thompson, and Gina Rodriguez in the #latimes -  ",,,
Great Annihilation article from Natalie Portman's new appearance in Time Off magazine -  ,,,
Awesome behind the scenes Annihilation photo of Natalie Portman with the other cast of ass-kicking ladies. More tidbits about the film here -  ,,,
Check out these two great red carpet interviews with Natalie Portman at the premiere of #annihilationmovie -  ,,,
Natalie Portman joined the rest of the #annihilationmovie cast at the premiere last night -  ,,,
Natalie Portman has filmed her appearance on #EllenDeGeneres It airs tonight -  ,,,
Watch Natalie Portman explain how the SNL rap was made -  ,,,
Three new clips of #natalieportman in Annihilation have emerged. Watch them here but beware mild spoilers -  ,,,
Our next #patreon reward is on the way. Learn how to get it here -  ,,,
New behind the scenes videos of Natalie Portman filming #annihilation are here -  ,,,
Natalie Portman and the rest of the Annihilation cast took part in a press junket for the film. The first photos and video have arrived here -  ,,,
Sorry the image didn't work last time. Here is one of the great Natalie Portman SNL promos -  ,,,
Natalie Portman kicking ass in new #annihilation stills and clip. Check them out here -  ,,,
Some stunning new #snl promo photos of #natalieportman have arrived. Check them here - ,,,
Behind the scenes flirtations for Dior. More Natalie Portman outtakes here -  ,,,
"""So thrilling that I was left dizzy"" 
""A sci-fi classic"" 
""One hell of a mindf*ck""

The first reviews of #annihilation are in - ",,,
"In this update - Annihilation banner, a video that was cut from Natalie Portman's #SNL appearance, and this cool poster based on the #StrangerThings sketch -  ",,,
"#natalieportman joined #avaduvernay #rashidajones and others at another #timesupnow panel. Video, report and photos here -  ",,,
I just sent out the first reward to our Patrons - almost 1k Natalie Portman photos. Donate on #patreon to get them and all the rewards to come! -  ,,,
Kapow! Check out #NataliePortman in Porter magazine -  ,,,
Natalie Portman returns to the rap game on #snl. View her appearance here -  ,,,
Don't miss Natalie Portman on #SNL tonight. Click the link to view more promo videos for her appearance -  ,,,
Natalie Portman's new DiorSkin campaign has officially launched #dior #missdior  View the video here -  ,,,
Another funny Natalie Portman SNL promo is here -  ,,,
Natalie Portman and bff Rashida Jones will join several other women for a #timesupnow panel at the 2018 Maker's Conference next week -  ,,,
Natalie Portman's hilarious SNL promo is here -  ,,,
Want to help the site and get some awesome Natalie Portman fan rewards? Become a patron -  ,,,
Update your bookmarks - Natalie Portman has changed her official Instagram account from @nportmanofficial to @natalieportman ,,,
"Be sure to read Natalie Portman's blog post on Medium, expanding on her Women's March speech -  #timesupnow",,,
"It's Portman, motherf*cker! Natalie Portman is returning to host SNL for the first time since her INCREDIBLE rap performance in 2006 -  ",,,
The young Jackie actress (@sunniepelant on Instagram) posted a lovely photo of her and Natalie Portman from the set -  ,,,
The internet woke up to young Natalie Portman looking like @milliebbrown in a big way -  ,,,
Natalie Portman gave a knockout speech at LA Women's March. Watch it here -  ,,,
"Last night Natalie Portman interviewed Greta Gerwig after a screening of her film, #ladybird -  ",,,
Natalie Portman will be attending and speaking at Women's March LA (@wmnsmarchla) on Saturday -  ,,,
What did other celebs make of Natalie Portman's Golden Globes comment -  ,,,
A new #annihilation poster courtesy of @oscarisaacfandom on Instagram -  ,,,
Natalie Portman gives her thoughts on Instagram on the way to the #GoldenGlobes2018 ,,,
Natalie Portman joined Oprah and other stars like Reese Witherspoon for a discussion about #timesupnow -  ,,,
"Natalie Portman is in talks to replace Reese Witherspoon in the space-drama, Pale Blue Dot -  ",,,
@Ardent86 This isn't Natalie's twitter account. She is only on Instagram and only joined a few days ago. She has almost 1 million followers so far and gets around 200k likes per post.,,,
Natalie Portman records a video from the limo on the way to the Golden Globes #timesupnow ,,,
@jesselortizruns It's the Golden Globes where half the people are drunk and the host is typically throwing barbs at everyone and everything.,,,
What Natalie Portman wears black. #timesupnow ,,,
Spot on ,,,
"@radiokillllllla She's written, directed, and produced films.",,,
It's surreal. ,,,
@bonnielwood What has dress got to do with what she was commenting on?,,,
Here's another video of Natalie having fun with Eva Longoria and Instagram filters. ,,,
A visual recap of Natalie Portman at the Golden Globes -  ,,,
Reese Witherspoon converting Natalie Portman to Instagram #jokes #Ithink ,,,
Natalie Portman having fun with Reese Witherspoon on Instagram! #timesupnow ,,,
Don't miss Natalie Portman's appearance at the #goldenglobes tonight -  ,,,
"Natalie Portman joins Resse Witherspoon, Eva Longoria, Brie Larson, Laura Dern and Edgar Ramirez to support @timesupnow. Some really funny videos of Natalie and all for a truly worthy cause -  ",,,
Natalie Portman looks gorgeous in the new Diorskin Forever campaign. Make sure you watch the video ad! -  ,,,
The Annihilation poster is here and it is weird and wonderful -  ,,,
Natalie Portman to host the #goldenglobes on Sunday -  ,,,
"@Osaroprime It's a famous movie line from Scarface, ""Say hello to my little friend"" referring to his massive gun. Goodbye 2017, hello to 2018 and Natalie with a big gun in Annihilation.",,,
@iktriad Took long enough ;-),,,
@mkygod It is now.,,,
@scully_nportman Its real alright,,,
@jacquenguyen Same,,,
RT @LetsCallBull: #TimesUp: Women launch campaign to fight #sexualharassment - A VERY good cause and something good to come out of the year,,,
"BIG NEWS - Natalie Portman launches an official Instagram account! 

",,,
"Natalie Portman continues to enjoy her time in Brazil, joining the New Years Eve celebrations in Rio. 

 ",,,
How to make a successful video ad? Hint - #NataliePortman ,,,
Happy New Year to Natalie Portman fans around the world! ,,,
Morris Khan doubles Natalie Portman's Genesis Prize award with a donation. The prize will be used to help boost gender equality -  ,,,
Who is ready to say goodbye to 2017 and hello to Annihilation?,,,
Natalie Portman and the family are still in Rio de Janeiro - ,,,
Another new Natalie Portman outtake from the 2009 Financial Times shoot - ,,,
RT @Morris_Kahn: I am pleased to have this opportunity to support the 2018 Genesis Prize Laureate Natalie Portman @natpdotcom in her noble,,,
Natalie Portman shares a #metoo moment -  ,,,
Natalie Portman is spending Christmas in Brazil!!! -  ,,,
Nice! ,,,
Happy holidays from the  team! ,,,
Natalie Portman's Genesis Award prize has been doubled thanks to a donation from Morris Khan -  ,,,
Check out these Natalie Portman screen captures from the new #annihilation trailer - ,,,
Will Natalie Portman play a pop star in Brady Corbet's Vox Lux? -  ,,,
Gina Rodriguez posted an awesome behind the scenes photo of #natalieportman and herself on #annihilation -  ,,,
The second trailer for #Annihilation has arrived!!! -  ,,,
@the_jenr We've been battling with some major issues behind the scenes. Seems steady now though.,,,
"The reason for the Netflix release of Annihilation is a battle between producers. Luckily, we will get to see the director's vision - ",,,
Good news or bad news? - Annihilation will be available on Netflix internationally just 17 days after release in US cinemas - ,,,
And Natalie's Miss Dior ad is the 4th most watched ad of 2017! - ,,,
Natalie Portman joins Benjamin for an #ladanceproject related event -  ,,,
"Apologies for the site slowness, we're trying to find a solution :-(",,,
A gorgeous new Natalie Portman outtake from 2007 -  ,,,
"RT @ianai310757: @faniaoz finally got to watch ""Tale of Love&amp;Darkness"" by @natpdotcom. not bad at all. a challenging endeavor. the book is",,,
Natalie Portman talks about her #metoo moment -  ,,,
Natalie Portman does gritty Baywatch in new still from Annihilation -  ,,,
Natalie Portman throws love at @broadcity at @vulturefestival -  ,,,
Gorgeous Natalie Portman portraits from the American Cinemateque Awards -  ,,,
Natalie Portman talks about WE Charity on #WEDay -  ,,,
A blast from the Goya's Ghosts past -  ,,,
Natalie Portman looked stunning last night at American CInematique Awards to honour #AmyAdams -  ,,,
"RT @livekindlyco: Actress @natpdotcom has won the Jewish Nobel Peace Prize for her social and animal activism.  #vegannews

",,,
Natalie's full Equality Summit conversation (all 40 min) is here -  ,,,
"RT @bowmanitis: #NeverForget that @WWF made @WWE change their name. 
Just remembered its the  #5thofNovember #WWV #V #vforvendetta #PandaWr",,,
"RT @poda2000: natalie portman in  "" black swan ""
@natpdotcom ",,,
Natalie Portman to be awarded with prestigious Genesis Prize - ,,,
Jennifer Jason Leigh talks about working with Natalie on #annihilation - ,,,
Natalie Portman to talk at Equity Summit -  ,,,
"RT @markogroli: Black swan - Swan Lake

#swanlake #GraphicDesigner #arte #inspiration #Graphic 
@20thcenturyfox @natpdotcom ",,,
"Remember, remember... #guyfawkes #vforvendetta #5thOfNovember ",,,
My very brief review of Planetarium is here -  ,,,
"The first look at Natalie's upcoming animated film, Foxy Trotter -  ",,,
Happy Halloween! #blackswan #Halloween2017 ,,,
RT @SmallStepsDocs: #NataliePortman @natpdotcom donated @MATT_AND_NAT #vegan sneakers to #celebrityshoeauction  htt,,,
If you or someone close has been touched by depression consider supporting this Natalie fan's fundraising run - ,,,
@phoebetorrance It was probably too soon after Black Swan. And it's hard to compare a minor key performance to Emma Stone's fireworks.,,,
"RT @rwt_taru: Just saw #Jackie , a movie about #jacquelinekennedy . Marvelous performance by @natpdotcom My heart goes out to this entire e",,,
Share your Halloween outfits and I'll RT. ,,,
It's baaack and with a new low price for a limited time. The t-shirt for Mathilda fans -  ,,,
New Natalie Portman gorgeousness for Dior -  ,,,
"Natalie Portman to produce and voice act in upcoming animation film, Foxy Trotter - ",,,
Awesome to see Natalie involved with gun safety. Jane wants to put down her gun. ,,,
New photo of #natalieportman in #jamesfranco student film -  ,,,
Get tickets to see Natalie Portman at #VultureFestival -  ,,,
"Jackie, V for Vendetta, and Annihilation in today's tidbits - ",,,
Natalie Portman to honor #AmyAdams at American Cinemateque Award -  ,,,
Good stuff! ,,,
The pink with the blood splatter would have been better... ,,,
Natalie Portman supports hubby at LA Dance Project gala -  ,,,
Looking good! We'll be relaunching the Mathilda t-shirt in a few days. ,,,
Isaac Mizrahi has tweeted a new photo of 14 yo Natalie Portman and it is stunning -  ,,,
Lots of #annihilation news in today's tidbits update - ,,,
"And for those who do enjoy them, the new tennis set is pure joy.",,,
Noticed there haven't been Natalie Portman candids posted here in awhile? They will only be on  now.,,,
Natalie Portman looks fierce in these #annihilation screen grabs -  ,,,
Natalie Portman kicking ass in the first trailer for #annihilation -  ,,,
Congrats ,,,
The first photo of Natalie Portman in Annihilation is here -  ,,,
Natalie Portman looks STUNNING in new Vanity Fair Italy photos -  ,,,
My review of #ataleofloveanddarkness -  ,,,
Check out Natalie Portman being awarded at the @green4EMA awards yesterday -  ,,,
4 new pieces of Natalie Portman fanart from Weronika are here -  ,,,
"This is so dumb. #blackswan opened in 18 theatres. Mother! opened in 2,368 theatres. #journalism #math - ",,,
@iamharry88 Nope.,,,
Fantastic! ,,,
"Let's talk about Natalie Portman, Dior, and animal testing - ",,,
We have some stunning new Natalie Portman #dior photos -  ,,,
Watch Natalie Portman talk Rouge Dior in new video - ,,,
Better late than never. ,,,
Jaw-dropping new Natalie Portman Dior photos -  ,,,
@normanticsjbr As I mentioned to someone else - Nat's team spent months vetting Dior with respect to animals before she signed up.,,,
I know this much - Natalie's team spent months vetting Dior before signing. Even down to how bees were treated. ,,,
RT @kindess4animals: @natpdotcom Please share this to fans of Natalie - ,,,
It does indeed. ,,,
Stunning! ,,,
That costume... ,,,
Some more Natalie Portman gorgeousness -  ,,,
Great Natalie Portman portrait with the #eatinganimals team at #telluride -  ,,,
Very nice! ,,,
Send your Natalie art! ,,,
"RT @livekindlyco: Whose seen the @natpdotcom documentary based on the @nytimes best selling book 'Eating Animals'? 

",,,
The first review and clip from Natalie Portman's #eatinganimals is here -  ,,,
@the_jenr @drummarico Strangers are just people...who haven't had the chance to disappoint and destroy you yet.,,,
Natalie Portman hanging out with #emmastone and #angelinajolie -  ,,,
Nice! ,,,
Natalie part of Wonder Women panel with #angelinajolie and other amazing ladies -  ,,,
Natalie Portman attends Eating Animals screening at Telluride -  ,,,
Retweet if you can relate #natalieportman #dating ,,,
The Natalie Portman produced doc Eating Animals to premiere this weekend at @TellurideFest - ,,,
Check out Natalie Portman's interview and stunning photos for Madame Figaro -  ,,,
Natalie Portman rocks the full HD Miss Dior ad + behind the scenes + new photos -  ,,,
"@jaredprice However, if this goes well we will do more and possibly that other version will be one of them.",,,
@jaredprice There was a second option that had Mathlda's name and another sentence (it was my choice) but I showed 12 Nat fans and 8 chose this one.,,,
"When you view make sure you click on ""products"". We have ladies', v-neck, and tri-blend versions - ",,,
Our Natalie Portman Mathilda t-shirt is AVAILABLE NOW! Go see -  ,,,
Natalie Portman rocks the new cover for Madame Figaro -  ,,,
"Hope all fans of Nat/Leon feel the same :-) If people like it then we may do more so sure, start thinking of ideas ;-) ",,,
We made a Natalie Portman t-shirt! Hope you guys love it. Stay tuned. ,,,
"Oh, and we have 3 photos from Natalie Portman's sexy Elle SA appearance -  ",,,
Stunning new Natalie Portman photos and interview from The Cut -  ,,,
Having a little fun with Natalie and @TobeyMaguire from Brothers -  ,,,
Natalie Portman is on the cover of the new Elle South Africa magazine -  ,,,
Great job! ,,,
Lots of interesting Natalie news in today's tidbits -  ,,,
Leap before you look #natalieportman ,,,
You said it! ,,,
Got something cooking for Leon fans... ,,,
"@wishinglarissa To be fair, the entire tweet was grammatically awful. Don't just pick on the 90s!",,,
New #missdior ad and photos are here -  #sia ,,,
Awesome new oldie Natalie photo from the 90's -  ,,,
#natalieportman is to be honoured for her environmentalism with the EMA's Ongoing Commitment award - ,,,
The new #natalieportman Rouge Dior site and video is here! -  ,,,
Natalie is stunning in the new Harper's Bazaar -  ,,,
Gorgeous #natalieportman photo in the new tidbits update -  ,,,
No more calendars until I find new artists. I felt bad having to ask Ana every month. ,,,
Interesting... ,,,
First look at new #missdior commercial -  ,,,
Beautiful ,,,
Check out this great new #fanart for #Thor -  ,,,
Natalie talks Planetarium in new video interview - ,,,
New Natalie interview with @wwd - ,,,
Natalie's next film could be Bronco Belle. Not crazy about the synopsis but the direct is interesting - ,,,
The character poster for Natalie's @XDolan film has arrived! -  ,,,
A new Planetarium clip with Natalie and Lily-Rose Depp has arrived - ,,,
Natalie Portman nibbles for Dior Rouge Liquid -  ,,,
Check out Natalie in a new clip from Planetarium - ,,,
The new Natalie Portman Dior campaign images are here and WOW -  ,,,
Natalie was interviewed on Japanese TV this morning -  ,,,
The new #dior ad + videos from Natalie's Asian trip -  ,,,
Natalie is now in Tokyo for another #dior event -  ,,,
The new #natalieportman #missdior campaign looks HOT -  ,,,
Natalie's next project is ready to go. On the Basis of Sex will shoot in September in Toronto! - ,,,
This Natalie gorgeousness and more from new tidbits -  ,,,
Natalie looked gorgeous at #christiandior event yesterday -  ,,,
Natalie attended the #christiandior show at #ParisFashionWeek today -  ,,,
Natalie is on holiday in Italy. Photographer here in #napoli pizzeria -  ,,,
The #natalieportman July wallpaper calendar is here -  ,,,
The poster for Natalie's upcoming The Life and Death of John F Donovan. ,,,
My review of Song to Song is here -  ,,,
A hot new clip from Song to Song + a peek at Natalie's new home -  ,,,
@Juanchow_art Please email these to me. Contact details are on the website.,,,
The final Charlie Awards + Portmania says goodbye for another year - ,,,
Happy birthday Natalie from Shanna Besson and all your fans. ,,,
More Charlie Awards including Best Drawing and Best Wallpaper announced - ,,,
Charlie Awards winners and Portmania here - ,,,
Happy #portmania - ,,,
New Natalie cover and article -  ,,,
The June wallpaper calendar is here -  ,,,
New Natalie site theme! Update your bookmarks during this testing phase -  ,,,
Annihilation continues to sound incredible - ,,,
The final Charlie Awards category. Rate 2016. Was it a great year or a crap one for Natalie fans? - ,,,
What was the worst news for Natalie fans in 2016? Vote now! - ,,,
The writer of Annihilation has seen the film and... - ,,,
Even better HQ photos from the Dior dinner -  ,,,
@the_jenr Does that count? ,,,
Natalie looking lovely at Dior dinner in France -  ,,,
First official Natalie photo from her @XDolan film shooting now - ,,,
Natalie will host pre-Cannes dinner in a few days -  ,,,
Could Natalie be in Thor 3 after all? -  #marvel #ThorRagnarok ,,,
A cute message and pic for Natalie's appearance on @AngieTribecaTBS tonight -  ,,,
Vote for the best Natalie news of 2016 - ,,,
Another clip from Natalie's upcoming appearance on Angie Tribeca -  ,,,
Natalie filming in London. Great to see her in front of a camera again -  ,,,
Natalie is filming her role in the Xavier Dolan film in London with Jacob @JacobTremblay -  ,,,
The #natalieportman calendar for May is here -  ,,,
A sneak peak at Natalie's upcoming @AngieTribecaTBS cameo is here - ,,,
Natalie is back to work for a new shoot -  ,,,
An upcoming Natalie film has a director at last - ,,,
A new Natalie-Jackie interview has landed - ,,,
Vote for the Best Natalie Video Appearance of 2016 - ,,,
#blackswan - the gift that keeps on giving -  ,,,
Watch a home video of #natalieportman performing Cabaret - ,,,
"Following us on Instagram yet?
Natalie photos every day.  ",,,
Natalie and Amalia go hiking -  ,,,
Some stunning new photos of Natalie and Lily-Rose Depp from Gioia! -  ,,,
Natalie will unfortunately not be involved with Boston Calling this year - ,,,
Learn about Natalie's role in @AngieTribecaTBS - ,,,
New/Old photos of #natalieportman from Imagen Mag -  ,,,
The first photos of Natalie and baby Amalia - ,,,
#natalieportman and #michaelfassbender tie the knot in new Song to Song photo -  ,,,
New (Italian dubbed) clips of Natalie in Planetarium - ,,,
The Natalie wallpaper calendar for April is here -  ,,,
What was the best Natalie drawing of 2016? You tell us! - ,,,
If you haven't seen it yet... ,,,
Annihilation footage was shown at CinemaCon and people were wowed - ,,,
We're finally on Instagram. New and old Natalie photos (almost) every day -,,,
Natalie may work with her James Blake music video director again. This time in a feature film - ,,,
Natalie might have passed on Ridley Scott project + new Song to Song photo + more here -  ,,,
What was the best Natalie Portman wallpaper from 2016? - ,,,
Gorgeous new Natalie Portman photo from Song to Song -  ,,,
Natalie is stunning in new @jamesblake music video -  ,,,
Cute and cuter -  ,,,
Song to Song opens this weekend. Here is a cool character image for Natalie's character -  ,,,
What was the best Natalie Advertising Photo of 2016? - ,,,
Will Natalie finally play Lisbeth Salander? -  ,,,
See how Jackie used VFX to complete its look - ,,,
Is Ridley Scott directing Natalie's next film? - ,,,
The first impressions for Song to Song are here - ,,,
Check out some B-roll footage of Natalie from Song to Song - ,,,
Natalie discusses Song to Song in first video interviews - ,,,
Director Danny Boyle has seen Annihilation and... - ,,,
Natalie spins in this new Song to Song still -  ,,,
What Natalie film are you most looking forward to in 2017? ,,,
A new Song to Song poster has arrived with Natalie front and center -  ,,,
Great new frames from Song to Song -  ,,,
Better late than never. My thoughts on Jackie - ,,,
Congrats to Natalie Portman on the birth of her second child - baby Amalia - ,,,
Vote for Natalie's Best Public Appearance for 2016 - ,,,
Get Natalie on your desktop with this wallpaper calendar for March -  ,,,
Vote for the best Natalie Portman editorial photo of 2016 - ,,,
No win for Natalie or Jackie. But to feel better here's a funny vid of Nat and celebs reading mean tweets - ,,,
Natalie didn't win the Independent Spirit Award last night. So here are some bunny ears -  ,,,
Creative new Jackie poster for China release -  ,,,
Natalie will not be attending the Academy Awards not the Spirit Awards #anydaynow - ,,,
Blonde bombshell Natalie Portman in first Song To Song still -  ,,,
Belerofonte gives his thoughts on Jackie - ,,,
Check out this beautiful new Natalie portrait -  ,,,
"A blonde Natalie with Gosling, Fassbender and Mara in the first Song to Song trailer - ",,,
"The poster to Natalie's next film, Song to Song, has arrived -  ",,,
Enjoy this gorgeous new Jackie still -  ,,,
Gorgeous Natalie from Grazia Italia -  ,,,
Natalie lost out to Emma Stone at the @BAFTA awards - ,,,
Natalie will be making an appearance on pal Rashida Jones' @AngieTribecaTBS -  ,,,
Enjoy Natalie's full video appearance on The Envelope -  ,,,
Natalie casting for The Goonies... - ,,,
Natalie attended the Academy Awards luncheon today -  ,,,
Great new video of Natalie teaching Hebrew slang - ,,,
Does Natalie's Ruth Bader Ginsburg finally have a director? - ,,,
A striking new Natalie calendar -  ,,,
2 great vids of Natalie - The Oscar actress roundtable + Vanity Fair asks a question - ,,,
More of Natalie in French Elle -  ,,,
"Natalie eulogizes her Jackie and V for Vendetta co-star, John Hurt -  ",,,
And photos of Natalie at @SAGawards where she lost to Emma Stone -  ,,,
Video interviews with Natalie from the SAG awards - ,,,
RIP #JohnHurt who worked with Natalie on Jackie and V for Vendetta. A great man and actor.,,,
Classic beauty -  ,,,
Natalie has landed another Best Actress nomination!!! #Oscars2017,,,
We have some images of Natalie from Friday's SAG event -  ,,,
Tomorrow we'll find out if Natalie is nominated for Best Actress by the Academy. #holdthumbs,,,
Enjoy these great new Jackie stills -  ,,,
Natalie spoke at the women's march. Watch it here -  ,,,
Check out Natalie's new inteview with @guardian -  ,,,
Watch Natalie give Jackie Q&amp;A live tomorrow - ,,,
Natalie talks acting for CNN's Creator series - ,,,
Enjoy this gorgeous new still of Natalie ass Jackie -  ,,,
Natalie joins other celebs in endorsing the @ONECampaign initiative - ,,,
New Diorskin Forever campaign video featuring #natalieportman - ,,,
Natalie and other celebs sing I Will Survive - ,,,
We have some photos of Natalie attending the Fox after party -  ,,,
Natalie has been nominated for a @BAFTA for her performance in #jackie - ,,,
Natalie didn't win a Globe but she was stunning on the red carpet -  ,,,
Good luck to Natalie at the Globes tonight. Pass the time by enjoying Snapchat's new Black Swan filter.,,,
Natalie attended an Academy screening for Jackie -  ,,,
New Natalie interview in Marie Claire UK - ,,,
Natalie and Julia Roberts together again -  ,,,
Song To Song (formerly Weightless) will premiere at SXSW - ,,,
Natalie's W Magazine interview video is here -  ,,,
Natalie is rocking in the new W Magazine -  ,,,
Natalie's Malick/Gosling/Fassbender film Weightless has a new title and release date - ,,,
Get your Natalie Portman calendar for January here -  ,,,
Natalie receives awards at Palm Springs Film Festival -  ,,,
Happy new year Natalie fans! Please enjoy our year in review -  ,,,
Lots more great Jackie/Natalie news here - ,,,
Enjoy yet another Jackie featurette - ,,,
Our own Rachel reviews Jackie - ,,,
A great find - Natalie Portman queuing for a movie with a Jackie poster looming -  ,,,
Awesome Jackie for your consideration poster + BTS photos -  ,,,
Merry Xmas. Happy holidays. Happy Hanukkah -  ,,,
2 new Jackie stills -  ,,,
Awesome Natalie photos from Interview Magazine -  ,,,
New Jackie featurette focuses on costumes - ,,,
Reese loves Jackie + more in today's roundup of Jackie news -  ,,,
Q&amp;A video of Natalie at a screening for ATOLAD has emerged - ,,,
Cute clip of Natalie on the Late Late Show talking about her pop group past - ,,,
Natalie Portman looking lovely at Hauding Global Film Awards -  ,,,
@the_jenr Not sure when it opens here :-/,,,
RT @Iain_McDougall: 2010 Black Swan released #OnThisDay starring @natpdotcom @MilaMilakunis &amp; @BarbHersheyFan @IMDb ,,,
Catch Natalie on the Late Late show tonight - ,,,
Natalie gets a Screen Actors Guild nomination! -  ,,,
A few days ago Natalie attended the Vulture awards -  ,,,
Check out this great new #JackieFilm featurette - ,,,
Natalie lands her 4th @goldenglobes nomination -  ,,,
Natalie wins Critics Choice Award. View her acceptance speech here -  ,,,
Natalie Portman looked stunning at LA Dance Project gala -  ,,,
Natalie's new cover appearance for Palm Spring Life -  ,,,
Natalie does a virtual reality short film for NYT Magazine -  ,,,
Even more powerful Jackie photos -  ,,,
Check out a clip of Natalie's appearance on Ellen -  ,,,
Watch Natalie's full appearance on Charlie Rose here - ,,,
Natalie and Pablo at the Four Seasons -  ,,,
Natalie wins best actress from the Washington film critics - ,,,
A great article and video interview with Natalie from @IndieWire -  ,,,
Stunning black and white Natalie Portman portraits -  ,,,
New Jackie stills from Time Magazine -  ,,,
