twitter_text,category
Natalie is on holiday in Italy. Photographer here in #napoli pizzeria -  ,positive
The #natalieportman July wallpaper calendar is here -  ,negative
The poster for Natalie's upcoming The Life and Death of John F Donovan. ,negative
My review of Song to Song is here -  ,negative
A hot new clip from Song to Song + a peek at Natalie's new home -  ,negative
@Juanchow_art Please email these to me. Contact details are on the website.,positive
The final Charlie Awards + Portmania says goodbye for another year - ,positive
Happy birthday Natalie from Shanna Besson and all your fans. ,positive
More Charlie Awards including Best Drawing and Best Wallpaper announced - ,positive
Charlie Awards winners and Portmania here - ,positive
Happy #portmania - ,positive
New Natalie cover and article -  ,negative
The June wallpaper calendar is here -  ,negative
New Natalie site theme! Update your bookmarks during this testing phase -  ,negative
Annihilation continues to sound incredible - ,negative
The final Charlie Awards category. Rate 2016. Was it a great year or a crap one for Natalie fans? - ,positive
What was the worst news for Natalie fans in 2016? Vote now! - ,negative
The writer of Annihilation has seen the film and... - ,negative
Even better HQ photos from the Dior dinner -  ,positive
@the_jenr Does that count? ,negative
Natalie looking lovely at Dior dinner in France -  ,positive
First official Natalie photo from her @XDolan film shooting now - ,negative
Natalie will host pre-Cannes dinner in a few days -  ,negative
Could Natalie be in Thor 3 after all? -  #marvel #ThorRagnarok ,negative
A cute message and pic for Natalie's appearance on @AngieTribecaTBS tonight -  ,positive
Vote for the best Natalie news of 2016 - ,positive
Another clip from Natalie's upcoming appearance on Angie Tribeca -  ,negative
Natalie filming in London. Great to see her in front of a camera again -  ,positive
Natalie is filming her role in the Xavier Dolan film in London with Jacob @JacobTremblay -  ,negative
The #natalieportman calendar for May is here -  ,negative
A sneak peak at Natalie's upcoming @AngieTribecaTBS cameo is here - ,negative
Natalie is back to work for a new shoot -  ,negative
An upcoming Natalie film has a director at last - ,negative
A new Natalie-Jackie interview has landed - ,negative
Vote for the Best Natalie Video Appearance of 2016 - ,positive
#blackswan - the gift that keeps on giving -  ,positive
Watch a home video of #natalieportman performing Cabaret - ,negative
"Following us on Instagram yet?
Natalie photos every day.  ",negative
Natalie and Amalia go hiking -  ,negative
Some stunning new photos of Natalie and Lily-Rose Depp from Gioia! -  ,positive
Natalie will unfortunately not be involved with Boston Calling this year - ,negative
Learn about Natalie's role in @AngieTribecaTBS - ,negative
New/Old photos of #natalieportman from Imagen Mag -  ,negative
The first photos of Natalie and baby Amalia - ,negative
#natalieportman and #michaelfassbender tie the knot in new Song to Song photo -  ,negative
New (Italian dubbed) clips of Natalie in Planetarium - ,negative
The Natalie wallpaper calendar for April is here -  ,negative
What was the best Natalie drawing of 2016? You tell us! - ,positive
If you haven't seen it yet... ,negative
Annihilation footage was shown at CinemaCon and people were wowed - ,positive
We're finally on Instagram. New and old Natalie photos (almost) every day -,negative
Natalie may work with her James Blake music video director again. This time in a feature film - ,negative
Natalie might have passed on Ridley Scott project + new Song to Song photo + more here -  ,negative
What was the best Natalie Portman wallpaper from 2016? - ,positive
Gorgeous new Natalie Portman photo from Song to Song -  ,positive
Natalie is stunning in new @jamesblake music video -  ,positive
Cute and cuter -  ,positive
Song to Song opens this weekend. Here is a cool character image for Natalie's character -  ,positive
What was the best Natalie Advertising Photo of 2016? - ,positive
Will Natalie finally play Lisbeth Salander? -  ,positive
See how Jackie used VFX to complete its look - ,negative
Is Ridley Scott directing Natalie's next film? - ,negative
The first impressions for Song to Song are here - ,positive
Check out some B-roll footage of Natalie from Song to Song - ,negative
Natalie discusses Song to Song in first video interviews - ,negative
Director Danny Boyle has seen Annihilation and... - ,negative
Natalie spins in this new Song to Song still -  ,negative
What Natalie film are you most looking forward to in 2017? ,negative
A new Song to Song poster has arrived with Natalie front and center -  ,negative
Great new frames from Song to Song -  ,positive
Better late than never. My thoughts on Jackie - ,positive
Congrats to Natalie Portman on the birth of her second child - baby Amalia - ,positive
Vote for Natalie's Best Public Appearance for 2016 - ,positive
Get Natalie on your desktop with this wallpaper calendar for March -  ,negative
Vote for the best Natalie Portman editorial photo of 2016 - ,positive
No win for Natalie or Jackie. But to feel better here's a funny vid of Nat and celebs reading mean tweets - ,positive
Natalie didn't win the Independent Spirit Award last night. So here are some bunny ears -  ,positive
Creative new Jackie poster for China release -  ,positive
Natalie will not be attending the Academy Awards not the Spirit Awards #anydaynow - ,positive
Blonde bombshell Natalie Portman in first Song To Song still -  ,negative
Belerofonte gives his thoughts on Jackie - ,negative
Check out this beautiful new Natalie portrait -  ,positive
"A blonde Natalie with Gosling, Fassbender and Mara in the first Song to Song trailer - ",negative
"The poster to Natalie's next film, Song to Song, has arrived -  ",negative
Enjoy this gorgeous new Jackie still -  ,positive
Gorgeous Natalie from Grazia Italia -  ,positive
Natalie lost out to Emma Stone at the @BAFTA awards - ,positive
Natalie will be making an appearance on pal Rashida Jones' @AngieTribecaTBS -  ,negative
Enjoy Natalie's full video appearance on The Envelope -  ,positive
Natalie casting for The Goonies... - ,negative
Natalie attended the Academy Awards luncheon today -  ,positive
Great new video of Natalie teaching Hebrew slang - ,positive
Does Natalie's Ruth Bader Ginsburg finally have a director? - ,negative
A striking new Natalie calendar -  ,negative
2 great vids of Natalie - The Oscar actress roundtable + Vanity Fair asks a question - ,positive
More of Natalie in French Elle -  ,negative
"Natalie eulogizes her Jackie and V for Vendetta co-star, John Hurt -  ",negative
And photos of Natalie at @SAGawards where she lost to Emma Stone -  ,negative
Video interviews with Natalie from the SAG awards - ,positive
RIP #JohnHurt who worked with Natalie on Jackie and V for Vendetta. A great man and actor.,positive
Classic beauty -  ,positive
Natalie has landed another Best Actress nomination!!! #Oscars2017,positive
We have some images of Natalie from Friday's SAG event -  ,negative
Tomorrow we'll find out if Natalie is nominated for Best Actress by the Academy. #holdthumbs,positive
Enjoy these great new Jackie stills -  ,positive
Natalie spoke at the women's march. Watch it here -  ,negative
Check out Natalie's new inteview with @guardian -  ,negative
Watch Natalie give Jackie Q&amp;A live tomorrow - ,negative
Natalie talks acting for CNN's Creator series - ,negative
Enjoy this gorgeous new still of Natalie ass Jackie -  ,positive
Natalie joins other celebs in endorsing the @ONECampaign initiative - ,negative
New Diorskin Forever campaign video featuring #natalieportman - ,negative
Natalie and other celebs sing I Will Survive - ,negative
We have some photos of Natalie attending the Fox after party -  ,positive
Natalie has been nominated for a @BAFTA for her performance in #jackie - ,negative
Natalie didn't win a Globe but she was stunning on the red carpet -  ,positive
Good luck to Natalie at the Globes tonight. Pass the time by enjoying Snapchat's new Black Swan filter.,positive
Natalie attended an Academy screening for Jackie -  ,negative
New Natalie interview in Marie Claire UK - ,negative
Natalie and Julia Roberts together again -  ,negative
Song To Song (formerly Weightless) will premiere at SXSW - ,negative
Natalie's W Magazine interview video is here -  ,negative
Natalie is rocking in the new W Magazine -  ,negative
Natalie's Malick/Gosling/Fassbender film Weightless has a new title and release date - ,negative
Get your Natalie Portman calendar for January here -  ,negative
Natalie receives awards at Palm Springs Film Festival -  ,positive
Happy new year Natalie fans! Please enjoy our year in review -  ,positive
Lots more great Jackie/Natalie news here - ,positive
Enjoy yet another Jackie featurette - ,positive
Our own Rachel reviews Jackie - ,negative
A great find - Natalie Portman queuing for a movie with a Jackie poster looming -  ,positive
Awesome Jackie for your consideration poster + BTS photos -  ,positive
Merry Xmas. Happy holidays. Happy Hanukkah -  ,positive
2 new Jackie stills -  ,negative
Awesome Natalie photos from Interview Magazine -  ,positive
New Jackie featurette focuses on costumes - ,negative
Reese loves Jackie + more in today's roundup of Jackie news -  ,positive
Q&amp;A video of Natalie at a screening for ATOLAD has emerged - ,negative
Cute clip of Natalie on the Late Late Show talking about her pop group past - ,positive
Natalie Portman looking lovely at Hauding Global Film Awards -  ,positive
@the_jenr Not sure when it opens here :-/,negative
RT @Iain_McDougall: 2010 Black Swan released #OnThisDay starring @natpdotcom @MilaMilakunis &amp; @BarbHersheyFan @IMDb ,negative
Catch Natalie on the Late Late show tonight - ,negative
Natalie gets a Screen Actors Guild nomination! -  ,negative
A few days ago Natalie attended the Vulture awards -  ,negative
Check out this great new #JackieFilm featurette - ,positive
Natalie lands her 4th @goldenglobes nomination -  ,negative
Natalie wins Critics Choice Award. View her acceptance speech here -  ,positive
Natalie Portman looked stunning at LA Dance Project gala -  ,positive
Natalie's new cover appearance for Palm Spring Life -  ,negative
Natalie does a virtual reality short film for NYT Magazine -  ,negative
Even more powerful Jackie photos -  ,positive
Check out a clip of Natalie's appearance on Ellen -  ,negative
Watch Natalie's full appearance on Charlie Rose here - ,negative
Natalie and Pablo at the Four Seasons -  ,negative
Natalie wins best actress from the Washington film critics - ,positive
A great article and video interview with Natalie from @IndieWire -  ,positive
Stunning black and white Natalie Portman portraits -  ,positive
New Jackie stills from Time Magazine -  ,negative
Listen to the full Jackie soundtrack -  ,negative
Absolutely stunning #natalieportman -  ,positive
Jackie lands six Critics Choice Awards nominations - ,positive
Natalie attends Jackie premiere in Washington -  ,negative
Your Natalie calendar for December has arrived -  ,negative
Natalie is on the cover of Style Magazine -  ,negative
New clip and TV spot for Jackie -  ,negative
A dozen new Jackie stills have arrived -  ,negative
Natalie on The Tonight Show with Jimmy Fallon - ,negative
Natalie's appearance on the Today Show is here - ,negative
Natalie Portman on the Variety podcast -  ,negative
Natalie attended the Gotham Independent Film Awards last night -   ,positive
A clip from Natalie's Actors on Actors appearance is here -  ,negative
Natalie will be on the Today Show this morning -  ,negative
Natalie Portman in New York Magazine is...wow -  ,negative
For your consideration #jackie #bestactress -  ,negative
"Natalie at an even for The Seventh Fire, the doc she produced - ",negative
Natalie and other best actress hopefuls are interviewed by The Envelope -  ,positive
Congrats to Natalie for her Indie Spirit Award nomination. Jackie received 4 noms in total - ,positive
Great Natalie photos from Jackie and Planetarium -  ,positive
Natalie Portman talk part in the THR actress roundtable discussion -  ,negative
Paparazzi are on hand to capture another set of Natalie candids -  ,positive
Planetarium is now in French cinemas -  ,negative
Natalie at another Jackie screening -  ,negative
How about some red carpet interview videos of Natalie from AFI Fest - ,negative
Natalie Portman on the red carpet at AFI Fest -  ,negative
The second trailer for Jackie has arrived! - ,negative
Natalie and Michelle Williams record Actors on Actors episode -  ,negative
Portraits of Natalie from Jackie press conference -  ,negative
A cool look inside a press junket as Natalie talks Jackie -  ,positive
Natalie wins award at Israel Film Festival -  ,positive
Natalie out and about in Los Feliz -  ,negative
Mathilda + Eleven suggested by Luc Besson's daughter -  ,negative
Videos of Natalie on the red carpet from last night's event -  ,negative
Natalie won for Jackie at the Hollywood Film Awards -  ,positive
Natalie talks Planetarium on Canal+ -  ,negative
Natalie Halloween shopping -  ,negative
SNEAK PEEK at Natalie in upcoming Marie Claire France -  ,negative
Info on the upcoming soundtracks for Planetarium and Jackie - ,negative
MUST SEE stills of Natalie in Planetarium -  ,negative
"Natalie, Benjamin and baby bump go for a walk -  ",negative
Natalie Portman wallpaper calendar for November is here #halloween -  ,negative
30 min Jackie screening Q&amp;A video with Natalie Portman - ,negative
"Variety interviews Natalie, the director and writer about Jackie - ",negative
And another set of Natalie on her own -  ,negative
Natalie and Benjamin out and about -  ,negative
Jackie news roundup. Come and get it! -  ,negative
More photos of Natalie out and about in Los Feliz -  ,negative
A roundup of Jackie-related articles and interviews - ,negative
Natalie Portman out and about in Los Feliz -  ,negative
We've added some great new HQ Natalie Portman portraits from @TIFF_NET -  ,positive
Tons of great Natalie Portman news in this roundup - ,positive
Two videos of Natalie discussing Jackie and pregnancy are here - ,negative
A bunch of new Natalie as Jackie stills have arrived -  ,negative
Natalie has been nominated for a Gotham award - ,positive
Natalie Portman attends book launch with some famous friends -  ,positive
"Wow, love these new Natalie film stills from Jackie and Planetarium -  ",positive
Natalie Portman rocking @CHANEL -  ,negative
A new Natalie Portman environmental and election video and more in this roundup of news - ,negative
Natalie Portman video interviews from NYFF are here - ,negative
Natalie Portman looked gorgeous on the red carpet for NYFF -  ,positive
"Listen to Natalie narrating a spooky new book, plus another RAVE for Jackie and more here - ",negative
Natalie is in NY for the NYFF -  ,negative
"Natalie was in Philadelphia today, attending events to support @HillaryClinton -  ",positive
Natalie gives Q&amp;A at SAG screening for Jackie -  ,negative
So what did you think of the Jackie trailer? Vote now! - ,negative
Jackie is heading to even more festivals - ,positive
The #Jackie poster and trailer have arrived! -  ,negative
Wow...another stunning Natalie portrait from TIFF -  ,positive
Cool video of Natalie at the Christian Dior from Paris Fashion Week -  ,positive
"RT @tcedillo: @natpdotcom @Behance portfolio: ""Mathilda, The Professional"" ",negative
Natalie Portman wallpaper calendar for October is here -  ,negative
Natalie is at Paris Fashion Week -  ,negative
Thanks! ,positive
Jackie (and Natalie?) are heading to the NY Film Festival - ,positive
Natalie talking about Jackie on video - ,negative
Natalie Portman and the family in Silver Lake -  ,negative
Another stunning Natalie Portman portrait from @TIFF_NET - ,positive
Jackie is arriving earlier than expected - ,negative
"Natalie's ex, Devendra Banhart, has some really sweet things to say about her - ",positive
Candid photos of Natalie out and about in LA -  ,negative
Natalie back in LA -  ,negative
Natalie video interview and classic polaroid photo in these Planetarium tidbits -  ,negative
Natalie Portman in Vanity Fair Italia -  ,positive
Jackie wins big at TIFF - ,positive
Check out these fan made Jackie posters -  ,positive
A bunch of Jackie updates including more rave reviews for Natalie - ,negative
What is the best Natalie news of recent weeks? - ,positive
Want even more Natalie portraits from TIFF? Of course you do! -  ,positive
Cool video of Natalie and the Plaentarium team interviewed by THR - ,positive
More Natalie portraits from TIFF! -  ,negative
See all the photos from the @TIFF_NET premiere of Jackie here -  ,negative
Jackie gets a December 9 release date - ,negative
BTS photos of Natalie talking Jackie at TIFF -  ,negative
Natalie Portman portraits from @TIFF_NET including a MUST SEE dancing gif -  ,negative
The rave reviews for Jackie continue at @TIFF_NET -  ,negative
Natalie and Lily-Rose at the @TIFF_NET premiere of Planetarium -  ,negative
TIFF portrait and video of Natalie here -  ,negative
Natalie Portman at the Planetarium after party -  ,positive
It seems as if Natalie Portman is expecting baby number 2 #groundhogday -  ,positive
Natalie looks stunning on the red carpet for Planetarium -  ,positive
Natalie Portman at the Venice photocall for Planetarium -  ,negative
New Planetarium clips and reviews are here -  ,negative
Natalie Portman on the red carpet in Venice #Jackie -  ,negative
Natalie Portman at the Venice photocall for Jackie -  ,negative
More photos of Natalie Portman in Venice. Lots more to come. -  ,negative
More Jackie impressions from Twitter are here - ,positive
First clip and euphoric reviews of Jack and Natalie Portman's performance in it -  ,positive
Natalie arrives in Venice for the film festival - ,positive
Scenes from Jackie have been seen. Click to find out what people are saying - ,negative
More gorgeous Natalie Portman attitude for @dior -  ,positive
Great new Natalie drawing from Andrew -  ,positive
Some great new BTS photos of Natalie from Dior Rouge -  ,positive
September's stunning Natalie Portman calendar is here -  ,positive
Natalie's Rouge Dior launches tomorrow but we've already got some cool content up -  ,positive
We've got some Planetarium updates for ya -  ,negative
And Natalie on Popcorn -  ,negative
Natalie talks ATOLAD on Fox - ,negative
Natalie out and about in LA -  ,negative
Natalie's full video interview with AOL Build is here -  ,negative
Natalie's Jimmy Kimmel appearance is here -  ,negative
Natalie Portman is on the cover of Modern Luxury -  ,negative
New and much better trailer for Planetarium is here -  ,positive
A #natalieportman headshot to knock you on your ass -  ,negative
Watch Natalie talk about her career for over an hour on Reel Pieces - ,negative
Some gorgeous new #natalieportman photos from Dior Rouge -  ,positive
Been awhile since we've had some Natalie art. Enjoy! -  ,positive
Natalie gave a Q&amp;A at Landmark theatre for ATOLAD -  ,positive
Natalie getting shirty in SOHO -  ,negative
Natalie Portman's interview in The Guardian is here -  ,negative
Natalie Portman looking oh so fine out and about in NY -  ,positive
Natalie Portman stands with fellow celebs for We Day -  ,negative
Natalie Portman on AOL Build this morning -  ,negative
Some great photos of Natalie and Lily-Rose from Madame Figaro -  ,positive
The new Natalie Rouge Dior video is hot as hell -  ,negative
Sounds like Natalie Portman is done with Marvel. That and more in new video interview -  ,positive
The poster for Planetarium has arrived -  ,negative
Natalie's full appearance on Charlie Rose is here -  ,negative
#natalieportman at the ATOLAD premiere and after party -  ,positive
Two new candid sets of Natalie out and about in NY yesterday -  ,negative
Natalie Portman is the guest on Charlie Rose tonight! -  ,negative
Natalie was just on Good Morning America -  ,positive
Jackie gets a composer and Weightless finally gets a release date - ,negative
Natalie Portman in stunning HQ Dior Rouge photo -  ,positive
And here are some photos to go with the interview -  ,negative
Natalie Portman's new interview in the LA Times is here - ,negative
"Just announced, Jackie is heading to TIFF as well - ",positive
More awesome #Natalieportman imagery from @dior -  ,positive
Check out some more photos of #natalieportman on stage talking about ATOLAD - ,negative
Another gorgeous new Dior video for your viewing pleasure - ,positive
Smiling new Natalie Portman for @Dior -  ,positive
Natalie Portman is in next month's Vanity Fair -  ,positive
Natalie will star and produce an upcoming HBO miniseries. Read all about it here - ,negative
A couple stunning new Natalie Portman photos from Marie Claire SK -  ,positive
Natalie Portman in the park -  ,negative
New #natalieportman @dior ad goes large on the lipstick -  ,negative
The new Natalie Portman wallpaper calendar for August is here -  ,negative
Let's see how long these new links to the Planetarium trailer hold out -  ,negative
The Miss Dior teaser site is live -  ,negative
More candids of Natalie out and about in LA -  ,negative
The Planetarium trailer was taken down. Hopefully a more official source will pop up soon for those who missed it.,positive
Natalie Portman speaks French in the first trailer for Planetarium -  ,negative
The preview of Natalie's new Dior video is SMOKING HOT - ,negative
Some of the media are kicking up another round of Natalie Portman pregnancy speculation -  ,negative
Jackie and Planetarium are heading to the Venice Film Festival - ,positive
Planetarium is heading to @TIFF_NET in September! - ,negative
Natalie and Benjamin back in LA -  ,negative
Natalie's directorial debut gets a new trailer -  ,negative
Natalie and Lily Rose in new Planetarium still -  ,negative
3 fantastic new #natalieportman @Dior photos are here -  ,positive
HQ photos from Natalie's NY Times photoshoot are here -  ,negative
Natalie's NY Times video is...interesting - ,negative
@iktriad Cool thanks!,positive
Natalie Portman's NY Times piece is here. A great article and even better photos -  ,positive
Natalie Portman turns up the heat in two new photos -  ,negative
Natalie rocks a massive VIP badge at Hyde Park -  ,positive
Natalie Portman attends concert in Hyde Park with Julianne Moore -  ,negative
Natalie Portman and Rashida Jones were at Wimbledon today - ,negative
Updates on 3 of Natalie's upcoming films - ,negative
Natalie Portman looking luxurious in new @dior behind the scenes image -  ,negative
New Natalie photo from an old Dior shoot. Happy July 4th! -  ,positive
"James Franco's UCLA student film, which Natalie acts in, has a poster and a trailer -  ",negative
@cavadova_x Did you make this?,negative
Looking good. ,positive
@David_Lives You're welcome!,positive
We've set up a wakelet for a collection of Natalie Portman videos. Check it out and lend us a hand - ,positive
Fiery preview of Natalie's upcoming Dior Rouge campaign -  ,negative
#natalieportman making dreams come true -  ,positive
Natalie not thrilled to be found by the paps in London. Thankfully this is more rare these days - ,positive
Stunning new #natalieportman @Dior photos previewing new campaign -  ,positive
Natalie speaks some French in the new Miss Dior video - ,negative
New Planetarium still sees #natalieportman rocking glasses -  ,negative
New HQ #NataliePortman portraits -  ,negative
A great new #natalieportman photo from #blackswan has emerged -  ,positive
First set photos of #natalieportman in Annihilation -  ,negative
"RT @MinkosD: Here's a tribute to @natpdotcom  on her 35th birthday from our team. 

Happy birthday Natalie Portman!",positive
RT @Dibujocreativo: Happy Birthday #NataliePortman @natpdotcom @nataliepbr @natalie025 ,positive
RT @ScreenPrism: Happy Birthday #NataliePortman. We got you a #BlackSwan video essay:  @natpdotcom ,positive
"Happy birthday, Natalie Portman! ",positive
Portmania Day 3 -  ,negative
Portmania Day 1 - ,negative
9 new Jane Got a Gun posers have arrived -  ,negative
The new Natalie Portman calendar for June is here -  ,negative
"Jackie, Annihilation and more in today's tidbits - ",negative
We've got a ton of HD screengrabs for you from Jane Got A Gun -  ,negative
Natalie's upcoming @XDolan film has a teaser poster -  ,negative
Natalie's directing debut to air on French  TV on Thursday -  ,negative
Confirmed: Natalie Portman will not be in Thor: Ragnarok -  ,negative
Jackie footage is causing a stir among buyers in Cannes - ,negative
Here is an extra image from last year's Cannes shoot -  ,negative
Want to know more about Natalie's Annihilation? #scifi #horror - ,positive
Annihilation is filming! -  ,negative
A new still from Natalie Portman's A Tale of Love and Darkness -  ,positive
Striking new Natalie Portman photo and interview -  ,negative
The Natalie Portman calendar for May is here -  ,negative
Watch Natalie's full French TV appearance from today -  ,negative
Natalie Portman is on France and will be on Canal Plus and Le Grand Journal today -  ,positive
Finally a full size version of this great Natalie Portman shot -  ,positive
Filming of Annihilation starts any day now. Expect to see Natalie Portman in London soon - ,negative
Great Natalie Portman HQ photo additions to the JGAG premiere gallery -  ,positive
New Star Wars inspired Natalie fanart -  ,negative
A new Black Swan set photo emerges -  ,negative
I saw Jane Got A Gun and...*shrug* - ,negative
Natalie helped Lily-Rose Depp land the role of her sister in Planetarium - ,negative
Bubbles and smoke in this new still from Planetarium -  ,negative
Check out these videos of Natalie Portman during her trip to Beijing - ,negative
TONS of great Natalie Portman photos from various events in Beijing this weekend -  ,positive
Natalie Portman just walked down the red carpet in Beijing -  ,negative
New Natalie Instagram photo with a stylist hints at something in the works -  ,negative
A new photo of #NataliePortman as Jackie Kennedy has arrived -  ,negative
Natalie Portman drops out of Thor 3 - ,negative
Another great Star Wars drawing from Anima -  ,positive
Natalie Portman talks about directing ATOLD in this new video - ,negative
Tidbits - Natalie to take part in WE day and Planetarium due for release in October - ,negative
New Natalie photo from Knight of Cups -  ,negative
Did you ever wish there was more lego in Closer? -  ,positive
The Charlie Awards winners are here -  ,positive
Bumper round up of Natalie news including filming the Dolan film in summer. Is there room for Thor 3? - ,negative
The April Natalie Portman wallpaper calendar is here -  ,negative
Oscar Isaacs joins Natalie in Annihilation. Can't wait! - ,negative
Natalie Portman looks stunning in several new photos from #ATOLAD -  ,positive
Natalie Portman and family spotted at the airport in Paris -  ,negative
A new photo find of Natalie as Mathilda. Wow! -  ,positive
Natalie takes Aleph to an Easter hunt in Paris -  ,negative
Natalie Portman is heading back to #beijing - ,negative
Even more Natalie photos from GMA -  ,negative
Awesome new #NataliePortman photos from her GMA appearance -  ,positive
See Natalie in a clip from doccie Mr. Gaga - ,negative
HQ additions of Natalie filming for Jackie -  ,negative
Natalie's Harper's Bazaar appearance is here -  ,negative
"Natalie is on the cover of Australian Harper's Bazaar, due out tomorrow -  ",negative
Vote for the best #NataliePortman news from 2015 - ,positive
Start the day with a whole lot of updates related to Knight of Cups - ,negative
A lot of new #NataliePortman photos from the weekend screening are here -  ,negative
#natalieportman looking great at Washington Jewish Film Festival -  ,positive
Some great #NataliePortman fanart -  ,positive
Natalie's sci-fi film Annihilation set to film from June to August! - ,negative
RT @CorticaFashion: ThankU @natpdotcom for being a lifelong #vegan &amp; #animalrights advocate   #March #WomensMonth ht,negative
Glad to hear it.  ,positive
Jackie filming is a wrap! -  ,negative
Two STUNNING new #NataliePortman @Dior photos -  ,positive
#NataliePortman as Jackie on the day of JFK's assassination -  ,negative
The new Natalie wallpaper calendar for March is here -  ,negative
"Knight of Cups week is here. Reviews, Natalie interview and new trailer - ",negative
New photo of #NataliePortman in #KoC -  ,negative
More #NataliePortman as Jackie Kennedy from filming this weekend -  ,negative
@NataliePortman looking stunning as Jackie Kennedy -  ,positive
#Natalieportman filming Jackie in Washington - ,negative
Stunning ,positive
Nice to hear it.  ,positive
And she's currently filming Jackie in Washington - ,negative
Seems Natalie will attend the Knight of Cups US premiere on March 1st - ,negative
@jenrsmediaarts It's not like I have anything better to do ;-),positive
Great job! ,positive
What is the best Natalie Wallpaper of 2015? - ,positive
Natalie may attending Washington Jewish Film Festival with ATOLAD - ,positive
Annihilation director only focused on the first film in the series - ,positive
Some great new Dior photos of #NataliePortman -  ,positive
Charlie Awards - Best Natalie Portman Video of 2015 - ,positive
Check out this Jane Got A Gun vfx reel - ,negative
"New KoC photo, @XDolan talks about working with Natalie and a whole lot more -  ",negative
What was the best #natalieportman advertising photo for 2015? - ,positive
Jennifer Jason Leigh might be joining #NataliePortman in Annihilation - ,negative
"@iliaSerin Awesome, thanks Ilia. I'll let you know once I have reviewed all the submissions.",positive
@iktriad Thanks!,positive
Natalie Portman joins the next film from @XDolan. Is this part of a new career strategy? - ,negative
RT @MAK_KW: @janegotagunfilm Amazing  @natpdotcom @joeledgerton1 @mcgregor_ewan @RodrigoSantoro @boydHolbrook1 @NoahEmmerich  ,positive
#NataliePortman and family out and about in Paris -  ,negative
@iliaSerin Sounds good.,positive
"@DaRunningArtist Yes, in three resolutions. See here for an example - ",positive
@iliaSerin Let's see your work!,negative
Can you make wallpapers in photoshop? Looking for some new Natalie fans to possibly make upcoming calendar submissions.,negative
New clip and reviews for Knight of Cups - ,negative
Charlie Awards is back with Best Editorial Photo. Some great Natalie photos to choose from - ,positive
New stills of #NataliePortman in #jackie -  @slashfilm ,negative
"RT @CarlosTorriani: ""Natalie Portman""
Color pencil Polychromos on paper - work in progress
@natpdotcom 
@FaberCastell ",positive
"Benjamin officially leaves Paris Ballet. Back to LA for the family, it seems - ",negative
Benjamin is leaving the Paris Ballet. Will the family be on the move again? - ,negative
How great is this Knight of Cups poster? -  ,positive
Vote for Natalie's Best Public Appearance of 2015 - ,positive
Jane Got A Gun opening weekend pulls in a silver coin and two cans of baked beans - ,negative
We've added a bunch of photos from Natalie's Good Morning America appearance -  ,positive
Videos of Natalie Portman from the JGAG premiere - ,negative
Jane Got A Gun is opening in a lot more theatres than we expected - ,negative
And last night Natalie attended the JGAG premiere -  ,negative
Natalie attended a screening of ATOLAD at the NY Jewish Film Festival -  ,positive
Watch Natalie Portman on Good Morning America from earlier today -  ,positive
Your daily does of #jgag news includes a video interview and reviews for the film -  ,negative
The most gorgeous image you'll see all week #NataliePortman #Dior -  ,positive
The 2015 Charlie Awards are here and the first category is Most Anticipated Upcoming Natalie film.Go vote - ,positive
Watch #NataliePortman on France TV from last night -  ,negative
Stunning #NataliePortman at the Paris premiere of Jane Got A Gun -  ,positive
Natalie Portman will be on France 2 tonight at 20:00 to talk #jgag and on @jimmyfallon to talk about making out - ,negative
Check out all the photos of #NataliePortman in Cuba -  ,negative
Two more clips from the upcoming Jane Got A Gun - ,negative
"Six stunning behind the scenes photos of #natalieportman - 
 ",positive
Natalie Portman brings the sex appeal in this new Dior shot -  ,negative
Natalie Portman's Ruth Bader Ginsberg biopic is looking for a new director - ,negative
Powerful new scene from Jane Got A Gun -  ,positive
Great #KnightOfCups shot features Nat and Bale -  ,positive
The US trailer for JGAG with a stylized new poster -  ,negative
More stunning Diorskin Forever images -  ,positive
Another great new promo photo for Jane Got A Gun -  ,positive
STUNNING new #NataliePortman @Dior image + @voguemagazine interview -  ,positive
"Natalie might be joined by Tessa Thompson in sci-fi, Annihilation - ",negative
FIRST LOOK - Natalie and Lily Rose Depp in #planetarium -  ,negative
Jane Got A Gun has a new promo photo of Natalie and it's BOSS -  ,negative
The January Natalie Portman calendar is here -  ,negative
Happy New Year! Now enjoy at look back at the 2015 of Natalie Portman news - ,positive
One last piece of Natalie Portman fanart for 2015 -  ,negative
The full new #NataliePortman @dior ad -  ,negative
#NataliePortman is back with DiorSkin Forever -  ,negative
Happy holidays -  ,positive
A HUGE version of the Jackie photo + Natalie to attend JGAG premiere in France - ,positive
FIRST LOOK - #NataliePortman as Jackie Kennedy -  ,negative
New stills of #NataliePortman in A Tale Of Love And Darkness -  ,positive
MUST SEE - The vid of Natalie's full conversation from TIFF - ,negative
Cate Blanchett is going to be in Thor 3. But is Natalie? - ,negative
Some new #NataliePortman fanart for you to enjoy -  ,positive
Which InStyle photo of Natalie is better? - ,positive
#NataliePortman in the new trailer for Jane Got A Gun + new photos -  ,negative
"A ""new"" photo from one of #NataliePortman's first shoots -  ",negative
"A ""new"" photo of #NataliePortman from one of her first ever shoots - ",negative
Get our December Natalie Portman calendar on your desktop ASAP -  ,negative
#NataliePortman talks to @InStyle about @freethechildren -  ,negative
Enjoy this new still from Knight of Cups - ,positive
Stunning new #NataliePortman photo from @InStyle -  ,positive
